titles,category
노진혁은 샐캡 상관없이 방출하는게 낫죠 ,LOTTE
이놈의 팀은 야구도 못해 취소 경기는 많고  ,LOTTE
김해는 이제 비 그치는 중,LOTTE
사직구장 비오는가보네요   ,LOTTE
사직구장 현재 풍경,LOTTE
아예 기후가 바뀌는 판인데,LOTTE
롯데도 롯덴데 부산시도 일하는 꼬라지가 참 답 없음,LOTTE
돔구장을 지어야하는데  ,LOTTE
이번시리즈 우취 있을까요  ,LOTTE
동래만 직격으로 관통하는 것도 겁나 웃기네요,LOTTE
암만 봐도 야구는 선수빨,LOTTE
실시간 강수 예측,LOTTE
남구는 비라곤 찾아볼수도 없는데,LOTTE
오늘 아침까지는 멀쩡했는데,LOTTE
사직 취소일까요 ,LOTTE
진짜 돔구장 안만들면 지방구단들은 여름 절반 쉴듯,LOTTE
초단기 강수보면  시까지 오겠는데요,LOTTE
실시간 동래역,LOTTE
롯데 기사나온거보니깐 취소하겠네요,LOTTE
주말엔 폭취 주중엔 그사취     ,LOTTE
여기는 동남아  폭염 이어 기습 스콜   롯데 선수단 대피   대형 방수포 개시  오 쎈 부산 ,LOTTE
경기시간 변경,LOTTE
폭염 취소 다음은 기습 폭우  장대비에 흠뻑 젖은 사직  잔여경기 최다  롯데 속이 탄다,LOTTE
연속 병살,HANWHA
승주야 니가 에이   다   ,HANWHA
병살장인    ,HANWHA
한승주좋다    ,HANWHA
아 이길수 있겠는데  ,HANWHA
한승주  병살    ,HANWHA
 이닝 연속 병살,HANWHA
김도빈  군 데뷔 첫 탈삼진 첫 아웃카운트    ,HANWHA
선수들도 힘빠질듯,HANWHA
김도빈의   분 투구로  강을 끊네요,HANWHA
솔직히   구 연속 볼은 예상 못했을듯     ,HANWHA
감독 때문에 김도빈이 욕 먹네요,HANWHA
방금 약간 호수프레삘인데    ,HANWHA
김주원은 왜저래요,HANWHA
딱 소리 날때마다 식겁   ,HANWHA
근데 진심 저정도면 불펜피칭할때도 스트 못던지지않았울까요       ,HANWHA
장담하는데 오늘 내일 졌습니다 백퍼,HANWHA
퇴근길에  점내준거 보고,HANWHA
기미난 좌익 수비 어쩔꺼임     강 앞두고,HANWHA
너네도 포기하지마  ,HANWHA
  시즌 김용주였나  이때 이후 처음 느껴보는 신선한 충격이네요   ,HANWHA
이승관 이후로 이런  군 선발 데뷔전 보는 건 오랜만인 듯,HANWHA
낼 하트인데   하는 꼬라지가 오늘 내일,HANWHA
류현진이 오른손으로 던져도 김도빈보단 제구잘할것같음,HANWHA
     김경문이 뭘 보긴 했나보네요,HANWHA
기다리지 왜 치냐,HANWHA
진심으로 쿠옹이 지금 당장 등판해도,HANWHA
나올투수가 김도빈밖에 없었나,HANWHA
마인드부터가  군은 무리네요,HANWHA
솔직히 김도빈 이름도 몰랐던사람 손 ,HANWHA
상호구 아깝네요,NC
노진혁이 타팀에 간다면,NC
김주원  번,NC
연천 미라클 박영빈     재입단  절실함 통했다 ,NC
내년엔 구창모도 시즌 풀 타임 뛰었으면 좋겠어요,NC
사포로 갈아서 드렸다  김강민 도운  숨은 조력자  이명기,NC
     이명기는 진짜 우승 토템이네요,NC
야 오 이 마 이 ,NC
와 미친 김강민    ,NC
 루 도루 해야될텐데,NC
만약노 놓지고 이형종 잡으면 득인가요,NC
 유섬  성한 오늘도 명불허전 듀오                   ,NC
  는 양의지 박민우만 잡는다는 소리인가요  그럼,NC
엔갤 반고닉좌 썰,NC
수석코치는 코시 끝나고 발표,NC
포수  호 계약은 양의지려나요 ,NC
우리 수코는 전형도 코치 확률이 높아보이네요,NC
담당 기자   애초부터 새 감독 후보군에 김태형 감독은 없었다,NC
그러고보니 이동욱 감독 크보 재취업 가능할까요 ,NC
이동욱 전 감독은 코치로서의 역량은 어땠나요 ,NC
이 와중 엔씨 김기환 퇴단,NC
퇴출까지는 오바하는거아닌가요 참  ,NC
 공식발표 삼성 출신    외야수 김기환  숙취운전 교통사고로 방출        년 이상 실격조치,NC
숙취운전인가 ,NC
김기환은 박한이 케이스내요,NC
야구 좀 잘했으면 갖은 핑계 대면서 데리고 갔겠지  ,NC
아니 음주 걸릴 거같으면 자기차말고 다르게 이동하면 안되나,NC
음주 다음 날이고 나발이고 음주운전은 음주운전이죠  ,NC
 속보      숙취운전 적발된 김기환 선수 퇴단,NC
김기환 술 마신 다음날 운전으로 음주운전 판정    ,NC
 한화 잘하면 개막전 매진 가능할지도,KIWOOM
키움은 시범경기에서 건질 선수가 단 두명뿐이네요,KIWOOM
캐스터가 선수 나이도 모르네요    ,KIWOOM
오재원 구장 관리자에게 버럭 ,KIWOOM
이승원은  군 백업은 가능할듯    ,KIWOOM
오늘 장재영 성적,KIWOOM
 군에서 시작할 투수들은 다 컨디션 좋네요,KIWOOM
오늘  군 테스트 문이장은 합격인듯,KIWOOM
 루수 펑고 타임이네요,KIWOOM
그래 지금 많이 맞아라,KIWOOM
러셀 어제 오늘 모습만 보여주면 참 좋겠네요,KIWOOM
엘지 빠따가 강하네요  ,KIWOOM
오재원 해설 되게 편하게 하네요 ,KIWOOM
키움 투수 수준 심각하군요,KIWOOM
홍성민은 몸이 덜 올라온건지 어디가 아픈건지,KIWOOM
이번 시범경기 장재영 투구 다들 어찌 보셨나요,KIWOOM
시범경기서 계속 맞는거 좋네요,KIWOOM
제구 안되는    던지면  군 가야죠   ,KIWOOM
오늘같은 경기는 차라리 괜찮네요 ,KIWOOM
홍성민은 제구가 안되네요,KIWOOM
줍줍  인방 중 홍성민은 힘들겠네요   ,KIWOOM
박주홍 박찬혁 둘 중 하나만 터지자 제발,KIWOOM
좌익수는 이용규가 무난히 먹겠네요,KIWOOM
러셀  루타랍니다,KIWOOM
정후선수 부상 아니라 다행이네요,KIWOOM
임병욱  군 힘들겠어요,KIWOOM
장재영 느낌이  년내로 터질 듯요,KIWOOM
장재영 지금 딱   시즌 안우진 같네요,KIWOOM
장재영이 안타맞든 홈런맞든 걍 스트던지는거자체가,KIWOOM
송성문 표정     ,KIWOOM
